,Name of compound,Compound ID,molecular_weight,molecular_formula,SMILES
39,Alogliptin,Compound(11450633),339.4,C18H21N5O2,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N
40,Alpelisib,Compound(56649450),441.5,C19H22F3N5O2S,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
41,Alprazolam,Compound(2118),308.8,C17H13ClN4,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
42,Alprostadil,Compound(5280723),354.5,C20H34O5,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
44,Aluminium Acetate,Compound(8757),204.11,C6H9AlO6,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Al+3]
45,Aluminium Chloride Hexahydrate,Compound(24564),241.43,AlCl3H12O6,O.O.O.O.O.O.[Al](Cl)(Cl)Cl
46,Alverine Citrate,Compound(21718),473.6,C26H35NO7,CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
47,Amantadine Hydrochloride,Compound(64150),187.71,C10H18ClN,C1C2CC3CC1CC(C2)(C3)N.Cl
48,Ambrisentan,Compound(6918493),378.4,C22H22N2O4,CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C
49,Amifampridine,Compound(5918),109.13,C5H7N3,C1=CN=CC(=C1N)N
50,Amikacin,Compound(37768),585.6,C22H43N5O13,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N
51,Amiloride Hydrochloride,Compound(16230),266.09,C6H9Cl2N7O,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl
52,Aminophylline,Compound(9433),420.43,C16H24N10O4,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
53,Aminosalicylic Acid,Compound(4649),153.14,C7H7NO3,C1=CC(=C(C=C1N)O)C(=O)O
54,Amiodarone Hydrochloride,Compound(441325),681.8,C25H30ClI2NO3,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl
55,Amisulpride,Compound(2159),369.5,C17H27N3O4S,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
56,Amitriptyline Hydrochloride,Compound(11065),313.9,C20H24ClN,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
57,Amlodipine,Compound(2162),408.9,C20H25ClN2O5,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
58,Amorolfine,Compound(54260),317.5,C21H35NO,CCC(C)(C)C1=CC=C(C=C1)CC(C)CN2CC(OC(C2)C)C
59,Amoxicillin,Compound(33613),365.4,C16H19N3O5S,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C
60,Amphotericin B,Compound(5280965),924.1,C47H73NO17,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
61,Ampicillin,Compound(6249),349.4,C16H19N3O4S,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C
62,Amsacrine,Compound(2179),393.5,C21H19N3O3S,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
63,Anagrelide,Compound(135409400),256.08,C10H7Cl2N3O,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3
64,Anakinra,Compound(139595263),509.6,C20H23N5O7S2,CC(C)(C)C(=O)OCON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C=C)C(=O)O
65,Anastrozole,Compound(2187),293.4,C17H19N5,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
67,Apalutamide,Compound(24872560),477.4,C21H15F4N5O2S,CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F
68,Apixaban,Compound(10182969),459.5,C25H25N5O4,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N
69,Apomorphine Hydrochloride,Compound(9410),303.8,C17H18ClNO2,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.Cl
70,Apraclonidine,Compound(2216),245.11,C9H10Cl2N4,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
71,Apremilast,Compound(11561674),460.5,C22H24N2O7S,CCOC1=C(C=CC(=C1)C(CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC
72,Aprepitant,Compound(135413536),534.4,C23H21F7N4O3,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F
73,Argatroban Monohydrate,Compound(92721),526.7,C23H38N6O6S,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C.O
74,Aripiprazole,Compound(60795),448.4,C23H27Cl2N3O2,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
76,Ascorbic Acid,Compound(54670067),176.12,C6H8O6,C(C(C1C(=C(C(=O)O1)O)O)O)O
77,Asenapine,Compound(3036780),285.8,C17H16ClNO,CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24
79,Aspirin,Compound(2244),180.16,C9H8O4,CC(=O)OC1=CC=CC=C1C(=O)O
80,Ataluren,Compound(11219835),284.24,C15H9FN2O3,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F
81,Atazanavir,Compound(148192),704.9,C38H52N6O7,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC
82,Atenolol,Compound(2249),266.34,C14H22N2O3,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
83,Atomoxetine,Compound(54841),255.35,C17H21NO,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2
84,Atorvastatin,Compound(60823),558.6,C33H35FN2O5,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
85,Atosiban,Compound(5311010),994.2,C43H67N11O12S2,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCCC(=O)NC(C(=O)N1)CC2=CC=C(C=C2)OCC)C(=O)N3CCCC3C(=O)NC(CCCN)C(=O)NCC(=O)N)CC(=O)N)C(C)O
86,Atovaquone,Compound(74989),366.8,C22H19ClO3,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O
88,Avanafil,Compound(9869929),483.9,C23H26ClN7O3,COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCCC4CO)Cl
89,Axitinib,Compound(6450551),386.5,C22H18N4OS,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
90,Azacitidine,Compound(9444),244.2,C8H12N4O5,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
91,Azathioprine,Compound(2265),277.27,C9H7N7O2S,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
92,Azelaic Acid,Compound(2266),188.22,C9H16O4,C(CCCC(=O)O)CCCC(=O)O
93,Azelastine Hydrochloride,Compound(54360),418.4,C22H25Cl2N3O,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl.Cl
94,Azilsartan Medoxomil,Compound(135409642),568.5,C30H24N4O8,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)OCC6=C(OC(=O)O6)C
95,Azithromycin,Compound(447043),749.0,C38H72N2O12,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
96,Aztreonam,Compound(5742832),435.4,C13H17N5O8S2,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
97,Baclofen,Compound(2284),213.66,C10H12ClNO2,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
98,Balsalazide Sodium,Compound(135413496),401.28,C17H13N3Na2O6,C1=CC(=CC=C1C(=O)NCCC(=O)[O-])N=NC2=CC(=C(C=C2)[O-])C(=O)O.[Na+].[Na+]
99,Bambuterol Hydrochloride,Compound(54765),403.9,C18H30ClN3O5,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O.Cl
100,Baricitinib,Compound(44205240),371.4,C16H17N7O2S,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
102,Beclometasone Dipropionate,Compound(21700),521.0,C28H37ClO7,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC
103,Bedaquiline,Compound(5388906),555.5,C32H31BrN2O2,CN(C)CCC(C1=CC=CC2=CC=CC=C21)(C(C3=CC=CC=C3)C4=C(N=C5C=CC(=CC5=C4)Br)OC)O
105,Bempedoic Acid,Compound(10472693),344.5,C19H36O5,CC(C)(CCCCCC(CCCCCC(C)(C)C(=O)O)O)C(=O)O
106,Bendamustine Hydrochloride,Compound(77082),394.7,C16H22Cl3N3O2,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl
107,Bendroflumethiazide,Compound(2315),421.4,C15H14F3N3O4S2,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
108,Benperidol,Compound(16363),381.4,C22H24FN3O2,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
110,Benzathine Benzylpenicillin,Compound(15232),909.1,C48H56N6O8S2,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2
111,Benzoyl Peroxide,Compound(7187),242.23,C14H10O4,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2
112,Benzydamine Hydrochloride,Compound(65464),345.9,C19H24ClN3O,CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3.Cl
113,Benzyl Benzoate,Compound(2345),212.24,C14H12O2,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
114,Benzylpenicillin Sodium,Compound(23668834),356.4,C16H17N2NaO4S,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[Na+]
115,Betahistine Dihydrochloride,Compound(68643),209.11,C8H14Cl2N2,CNCCC1=CC=CC=N1.Cl.Cl
116,Betaine,Compound(247),117.15,C5H11NO2,C[N+](C)(C)CC(=O)[O-]
117,Betamethasone,Compound(9782),392.5,C22H29FO5,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
118,Betaxolol,Compound(2369),307.4,C18H29NO3,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
119,Bethanechol Chloride,Compound(11548),196.67,C7H17ClN2O2,CC(C[N+](C)(C)C)OC(=O)N.[Cl-]
120,Bexarotene,Compound(82146),348.5,C24H28O2,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C
121,Bezafibrate,Compound(39042),361.8,C19H20ClNO4,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl
122,Bicalutamide,Compound(2375),430.4,C18H14F4N2O4S,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
123,Bilastine,Compound(185460),463.6,C28H37N3O3,CCOCCN1C2=CC=CC=C2N=C1C3CCN(CC3)CCC4=CC=C(C=C4)C(C)(C)C(=O)O
124,Bimatoprost,Compound(5311027),415.6,C25H37NO4,CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O
125,Binimetinib,Compound(10288191),441.2,C17H15BrF2N4O3,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO
126,Bisacodyl,Compound(2391),361.4,C22H19NO4,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
127,Bismuth Subsalicylate,Compound(16682734),363.1,C7H6BiO4,C1=CC=C2C(=C1)C(=O)O[Bi]O2.O
128,Bisoprolol Fumarate,Compound(6917733),441.5,C22H35NO8,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=CC(=O)O)C(=O)O
131,Bortezomib,Compound(387447),384.2,C19H25BN4O4,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
132,Bosentan,Compound(104865),551.6,C27H29N5O6S,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
133,Bosutinib,Compound(5328940),530.4,C26H29Cl2N5O3,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
136,Brigatinib,Compound(68165256),584.1,C29H39ClN7O2P,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC
137,Brimonidine Tartrate,Compound(54405),442.22,C15H16BrN5O6,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br.C(C(C(=O)O)O)(C(=O)O)O
138,Brinzolamide,Compound(68844),383.5,C12H21N3O5S3,CCNC1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC
139,Brivaracetam,Compound(9837243),212.29,C11H20N2O2,CCCC1CC(=O)N(C1)C(CC)C(=O)N
140,Bromfenac,Compound(60726),334.16,C15H12BrNO3,C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)O
141,Bromocriptine,Compound(31101),654.6,C32H40BrN5O5,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
142,Budesonide,Compound(5281004),430.5,C25H34O6,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
143,Bumetanide,Compound(2471),364.4,C17H20N2O5S,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
144,Bupivacaine Hydrochloride,Compound(64737),324.9,C18H29ClN2O,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl
145,Buprenorphine,Compound(644073),467.6,C29H41NO4,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O
146,Bupropion Hydrochloride,Compound(62884),276.2,C13H19Cl2NO,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl
148,Buspirone Hydrochloride,Compound(36431),422.0,C21H32ClN5O2,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4.Cl
149,Busulfan,Compound(2478),246.3,C6H14O6S2,CS(=O)(=O)OCCCCOS(=O)(=O)C
150,Cabazitaxel,Compound(9854073),835.9,C45H57NO14,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC
151,Cabergoline,Compound(54746),451.6,C26H37N5O2,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C
152,Cabozantinib,Compound(25102847),501.5,C28H24FN3O5,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F
153,Calcipotriol,Compound(5288783),412.6,C27H40O3,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C
154,Calcitriol,Compound(5280453),416.6,C27H44O3,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
155,Calcium Acetate,Compound(6116),158.17,C4H6CaO4,CC(=O)[O-].CC(=O)[O-].[Ca+2]
156,Calcium Carbonate,Compound(10112),100.09,CCaO3,C(=O)([O-])[O-].[Ca+2]
157,Calcium Chloride,Compound(24844),147.01,CaCl2H4O2,O.O.[Cl-].[Cl-].[Ca+2]
158,Calcium Gluconate,Compound(9290),430.37,C12H22CaO14,C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Ca+2]
159,Calcium Lactate,Compound(13144),218.22,C6H10CaO6,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Ca+2]
160,Calcium Phosphate,Compound(24456),310.2,Ca3O8P2,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2]
161,Calcium Polystyrene Sulfonate,Compound(169893),223.28,C8H7CaO3S+,C=CC1=CC=CC=C1S(=O)(=O)[O-].[Ca+2]
163,Canagliflozin,Compound(24812758),444.5,C24H25FO5S,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F
164,Candesartan Cilexetil,Compound(2540),610.7,C33H34N6O6,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
165,Cangrelor,Compound(9854012),776.4,C17H25Cl2F3N5O12P3S2,CSCCNC1=C2C(=NC(=N1)SCCC(F)(F)F)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(C(P(=O)(O)O)(Cl)Cl)O)O)O
166,Cannabidiol,Compound(644019),314.5,C21H30O2,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O
167,Capecitabine,Compound(60953),359.35,C15H22FN3O6,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
169,Capsaicin,Compound(1548943),305.4,C18H27NO3,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
170,Captopril,Compound(44093),217.29,C9H15NO3S,CC(CS)C(=O)N1CCCC1C(=O)O
171,Carbamazepine,Compound(2554),236.27,C15H12N2O,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
172,Carbetocin,Compound(16681432),988.2,C45H69N11O12S,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSCCCC(=O)NC(C(=O)N1)CC2=CC=C(C=C2)OC)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N
173,Carbimazole,Compound(31072),186.23,C7H10N2O2S,CCOC(=O)N1C=CN(C1=S)C
174,Carbocisteine,Compound(193653),179.2,C5H9NO4S,C(C(C(=O)O)N)SCC(=O)O
176,Carboplatin,Compound(426756),371.25,C6H12N2O4Pt,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2]
177,Carboprost,Compound(5281075),368.5,C21H36O5,CCCCCC(C)(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O
178,Carfilzomib,Compound(11556711),719.9,C40H57N5O7,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4
179,Carglumic Acid,Compound(121396),190.15,C6H10N2O5,C(CC(=O)O)C(C(=O)O)NC(=O)N
180,Cariprazine,Compound(11154555),427.4,C21H32Cl2N4O,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl
181,Carmellose Sodium,Compound(6328154),263.2,C8H16NaO8,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]
182,Carmustine,Compound(2578),214.05,C5H9Cl2N3O2,C(CCl)NC(=O)N(CCCl)N=O
183,Carvedilol,Compound(2585),406.5,C24H26N2O4,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
185,Cefaclor,Compound(51039),367.8,C15H14ClN3O4S,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl
186,Cefadroxil,Compound(47965),363.4,C16H17N3O5S,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
187,Cefalexin,Compound(27447),347.4,C16H17N3O4S,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O
